Date,Open,High,Low,Close,Volume,Adj Close
2014-02-18,0.45,0.45,0.45,0.45,000,0.45
2014-02-14,0.45,0.45,0.45,0.45,000,0.45
2014-02-13,0.45,0.45,0.45,0.45,1000,0.45
2014-02-12,0.35,0.35,0.35,0.35,5000,0.35
2014-02-11,0.45,0.45,0.45,0.45,000,0.45
2014-02-10,0.45,0.45,0.45,0.45,000,0.45
2014-02-07,0.45,0.45,0.45,0.45,1100,0.45
2014-02-06,0.44,0.44,0.44,0.44,000,0.44
2014-02-05,0.44,0.44,0.44,0.44,5100,0.44
2014-02-04,0.449,0.449,0.449,0.449,1000,0.449
2014-02-03,0.40,0.40,0.40,0.40,000,0.40
2014-01-31,0.40,0.40,0.40,0.40,15300,0.40
2014-01-30,0.43,0.43,0.43,0.43,000,0.43
2014-01-29,0.35,0.43,0.35,0.43,12700,0.43
2014-01-28,0.44,0.45,0.43,0.43,17000,0.43
2014-01-27,0.40,0.45,0.40,0.44,24900,0.44
2014-01-24,0.40,0.40,0.40,0.40,000,0.40
2014-01-23,0.42,0.42,0.40,0.40,1100,0.40
2014-01-22,0.40,0.40,0.35,0.35,20300,0.35
2014-01-21,0.42,0.42,0.42,0.42,900,0.42
2014-01-17,0.42,0.42,0.42,0.42,1500,0.42
2014-01-16,0.43,0.43,0.40,0.40,8000,0.40
2014-01-15,0.445,0.445,0.445,0.445,1000,0.445
2014-01-14,0.445,0.445,0.445,0.445,3100,0.445
2014-01-13,0.445,0.445,0.43,0.43,7600,0.43
2014-01-10,0.45,0.45,0.45,0.45,000,0.45
2014-01-09,0.45,0.45,0.45,0.45,2000,0.45
2014-01-08,0.44,0.44,0.43,0.43,1900,0.43
2014-01-07,0.45,0.45,0.45,0.45,5500,0.45
2014-01-06,0.45,0.45,0.45,0.45,200,0.45
2014-01-03,0.45,0.45,0.45,0.45,000,0.45
2014-01-02,0.45,0.45,0.45,0.45,11700,0.45
2013-12-31,0.48,0.48,0.45,0.45,22600,0.45
2013-12-30,0.43,0.50,0.43,0.48,56600,0.48
